City: Herat	Coordinates: 34.3508273, 62.2164003
City: Cape Otway	Coordinates: -38.8571627, 143.5114448
City: Carnarvon	Coordinates: -24.8826131, 113.6576486
City: Casterton	Coordinates: 54.22063595, -2.541105889345747
City: Castlemaine	Coordinates: -37.0664778, 144.2200032
City: Ceduna	Coordinates: -32.1263581, 133.6742187
City: Cerberus	Coordinates: -40.5123072, 176.2137662
City: Cessnock	Coordinates: -32.8316667, 151.3511111
City: Charleville	Coordinates: 48.813549, 3.6664318
City: Charters Towers	Coordinates: -20.0714089, 146.2709824
City: Christmas Island	Coordinates: -10.49124145, 105.6173514897963
City: Clare	Coordinates: 52.857257450000006, -8.937435925994537
City: Clermont	Coordinates: 49.3780921, 2.4141907
City: Cobar	Coordinates: -31.4983333, 145.8344444
City: Cocos Island	Coordinates: 13.238398400000001, 144.65265156339873
City: Coffs Harbour	Coordinates: -30.2985996, 153.1094116
City: Colac	Coordinates: -38.3399766, 143.5858537
City: Coles Bay	Coordinates: -42.125218, 148.2885381
City: Collie	Coordinates: -33.3591223, 116.1536169
City: Combienbar	Coordinates: -37.3862825, 149.02118942553616
City: Coober Pedy	Coordinates: -29.0133682, 134.7536164
City: Cooma	Coordinates: -36.23563, 149.1264221
City: Coonawarra	Coordinates: -37.2909105, 140.8346628
City: Corryong	Coordinates: -36.1975112, 147.9042145
City: Cradle Valley	Coordinates: -41.6384111, 145.9456813
City: Cranbourne	Coordinates: -38.0997308, 145.2807256
City: Cressy	Coordinates: 49.72580335, 1.1640849339909463
City: Currie	Coordinates: 44.071351, -95.666399
City: Cygnet	Coordinates: 41.2400521, -83.6432659
City: Dalby	Coordinates: -27.1822593, 151.2634168
City: Dalwallinu	Coordinates: -30.1299745, 116.94554167542739
City: Dartmouth	Coordinates: 50.3514839, -3.583844
City: Darwin	Coordinates: -12.46044, 130.8410469
City: Darwin Rural	Coordinates: 49.927849, -95.8335405
City: Deloraine	Coordinates: 49.1926295, -100.4945182
City: Denham	Coordinates: 46.3638345, -92.9429827
City: Deniliquin	Coordinates: -35.5302183, 144.9597178
City: Derby	Coordinates: 52.9212617, -1.4761491
City: Devonport	Coordinates: -41.1797561, 146.3613011
City: Dover	Coordinates: 51.1251275, 1.3134228
City: Dubbo	Coordinates: -32.2478964, 148.6026502
City: Echuca	Coordinates: -36.1281405, 144.7516955
City: Elizabeth	Coordinates: 40.6639916, -74.2107006
City: Emerald	Coordinates: -23.5263118, 148.1618622
City: Esperance	Coordinates: -33.858228, 121.8931606
City: Eucla	Coordinates: -31.6768407, 128.8865164
City: Evandale	Coordinates: -41.5686543, 147.2502409
City: Exmouth	Coordinates: 50.6190962, -3.4146801
City: Falls Creek	Coordinates: -36.878682999999995, 147.24417905005797
City: Fingal	Coordinates: 53.494221249999995, -6.22498020932367
City: Fitzroy Crossing	Coordinates: -18.1930007, 125.5668349
City: Forster	Coordinates: -32.1820852, 152.5131155
City: Frankston	Coordinates: -38.1444729, 145.1268808
City: Gabo Island	Coordinates: -37.55899264999999, 149.9099858121798
City: Geelong	Coordinates: -38.1493084, 144.3598004
City: Geeveston	Coordinates: -43.1637889, 146.9275129
City: George Town	Coordinates: 5.4141619, 100.3287352
City: Geraldton	Coordinates: -28.77035, 114.6147159
City: Gladstone	Coordinates: -23.8431724, 151.256132
City: Glen Innes	Coordinates: -29.7379146, 151.7356326
City: Glenelg	Coordinates: 57.2124802, -5.6208263
City: Glenorchy	Coordinates: -42.8339024, 147.274444
City: Gold Coast	Coordinates: -28.0023731, 153.4145987
City: Goondiwindi	Coordinates: -28.5471732, 150.3073801
City: Gosford	Coordinates: -33.4250175, 151.3417318
City: Goulburn	Coordinates: -34.7523871, 149.7198009
City: Grafton	Coordinates: 43.9702453, -71.8742626
City: Griffith	Coordinates: -34.2870772, 146.0551022
City: Gympie	Coordinates: -26.1900447, 152.6600256
City: Halls Creek	Coordinates: -19.008929600000002, 127.73176762723773
City: Hamilton	Coordinates: 43.2560802, -79.8728583
City: Hay	Coordinates: -34.5092589, 144.842485
City: Hervey Bay	Coordinates: -25.2985784, 152.8535216
City: Heywood	Coordinates: 53.5967685, -2.2239715
City: Hobart	Coordinates: -42.8825088, 147.3281233
City: Horsham	Coordinates: 51.0630273, -0.3295028
City: Huonville	Coordinates: -43.0292365, 147.0502785
City: Ingham	Coordinates: 42.5860505, -84.3800841
City: Innisfail	Coordinates: -17.5241721, 146.0311418
City: Inverell	Coordinates: -29.43679805, 151.17706931836153
City: Ipswich	Coordinates: 52.0579324, 1.1528095
City: Ivanhoe	Coordinates: 44.463229, -96.247372
City: Jabiru	Coordinates: -12.6738286, 132.8365938
City: Jindabyne	Coordinates: -36.4170899, 148.61996
City: Kalbarri	Coordinates: -27.7109989, 114.1638162
City: Kalgoorlie	Coordinates: -30.7464139, 121.473223
City: Kalumburu	Coordinates: -14.2950295, 126.6426345
City: Karratha	Coordinates: -20.7370067, 116.8478592
City: Katanning	Coordinates: -33.6908682, 117.5551858
City: Katherine	Coordinates: -14.4646157, 132.2635993
City: Katoomba	Coordinates: -33.713759, 150.3121633
City: Keith	Coordinates: 41.1973065, -101.6862537
City: Kempsey	Coordinates: -31.0798092, 152.842289
City: Kerang	Coordinates: -35.7338373, 143.9204152
City: Kilmore Gap	Coordinates: 52.1904358, -6.6135177
City: Kingaroy	Coordinates: -26.5412563, 151.8394231
City: Kingscote	Coordinates: -35.6524847, 137.6367523
City: Kingston	Coordinates: 17.9712148, -76.7928128
City: Kununurra	Coordinates: -15.7730916, 128.738839
City: Kurnell	Coordinates: -34.0222379, 151.1880555
City: Kyabram	Coordinates: -36.3131874, 145.0480905
City: Kyancutta	Coordinates: -33.1334721, 135.555278
City: Lajamanu	Coordinates: -18.3357828, 130.6359219
City: Lake Eildon	Coordinates: -37.187847, 145.96235134217312
City: Lake Grace	Coordinates: -33.131605199999996, 119.15744004888728
City: Lake St Clair	Coordinates: 42.4935392, -82.73921273797565
City: Lakes Entrance	Coordinates: -37.8794582, 147.9943828
City: Latrobe	Coordinates: 40.317287, -79.3840301
City: Latrobe Valley	Coordinates: -38.21172655, 146.47255266063434
City: Launceston	Coordinates: -41.4340813, 147.1373496
City: Laverton [VIC]	Coordinates: -37.8637978, 144.7723486
City: Laverton [WA]	Coordinates: -37.8637978, 144.7723486
City: Leigh Creek	Coordinates: -30.5932071, 138.403104
City: Leinster	Coordinates: 53.11846495, -6.991818291829787
City: Leonora	Coordinates: -28.416227, 121.00299304273261
City: Liawenee	Coordinates: -41.8989567, 146.6724941
City: Lismore	Coordinates: 43.747744, -95.947241
City: Lithgow	Coordinates: -33.481536, 150.1564887
City: Liverpool	Coordinates: 53.4071991, -2.99168
City: Longerenong	Coordinates: -36.680548, 142.33963165063477
City: Longreach	Coordinates: -23.4378387, 144.2586898
City: Lord Howe Island	Coordinates: -31.5540166, 159.08562562605897
City: Mackay	Coordinates: -21.141956, 149.1865149
City: Maitland	Coordinates: -32.7316683, 151.5511123
City: Maitland and Cessnock	Coordinates: None, None
City: Mallacoota	Coordinates: -37.5599955, 149.7540761
City: Mandurah	Coordinates: -32.5302495, 115.7208782
City: Maningrida	Coordinates: -12.0524203, 134.2267293
City: Manjimup	Coordinates: -34.626374, 116.28260393544471
City: Marble Bar	Coordinates: -21.1714929, 119.7456168
City: Mareeba	Coordinates: -17.129513000000003, 143.92421903082817
City: Margaret River	Coordinates: -33.9531776, 115.0769369
City: Marrawah	Coordinates: -40.9194245, 144.6991511
City: Maryborough	Coordinates: -25.537583, 152.7019182
City: Maryborough [VIC]	Coordinates: -25.537583, 152.7019182
City: Maydena	Coordinates: -42.7559574, 146.6261634
City: Meekatharra	Coordinates: -26.5925631, 118.4957043
City: Melaleuca	Coordinates: -43.4200014, 146.1639982
City: Melbourne	Coordinates: -37.8142454, 144.9631732
City: Merimbula	Coordinates: -36.8882027, 149.909846
City: Merredin	Coordinates: -31.4813329, 118.2779117
City: Mildura	Coordinates: -34.195274, 142.1503146
City: Moora	Coordinates: -30.516414, 116.20649698992327
City: Moorabbin	Coordinates: -37.9343919, 145.0368952
City: Moranbah	Coordinates: -22.0030414, 148.0432658
City: Morawa	Coordinates: -29.033330499999998, 116.02672933035181
City: Moree	Coordinates: 47.9015941, 1.2378026
City: Mornington	Coordinates: -38.243314999999996, 145.08854316331724
City: Mornington Peninsula	Coordinates: -38.243314999999996, 145.08854316331724
City: Mortlake	Coordinates: 51.4698873, -0.2685226
City: Mount Barker	Coordinates: -35.0641302, 138.8586385
City: Mount Baw Baw	Coordinates: -37.8395353, 146.2758765
City: Mount Buller	Coordinates: -37.269461500000006, 146.4008687530049
City: Mount Dandenong	Coordinates: -37.8321508, 145.3551849
City: Mount Field	Coordinates: 44.1964951, -71.4331905
City: Mount Gambier	Coordinates: -37.8246698, 140.7820067624113
City: Mount Hotham	Coordinates: -36.9752548, 147.1282459
City: Mount Isa	Coordinates: -20.7289898, 139.4931522
City: Mount Moornapa	Coordinates: -37.75345675, 147.14797811958368
City: Mount Nowa Nowa	Coordinates: -37.6917431, 148.0911881
City: Mount Wellington	Coordinates: -42.896007, 147.2373052
City: Mowbray	Coordinates: -33.9483333, 18.4741667
City: Mudgee	Coordinates: -32.5980702, 149.5886383
City: Murray Bridge	Coordinates: -35.1309451, 139.2651638
City: Naracoorte	Coordinates: -36.9575267, 140.7413543
City: Narrabri	Coordinates: -30.3296154, 149.7814491
City: Narrogin	Coordinates: -32.9341978, 117.1778676
City: New Norfolk	Coordinates: -42.7801998, 147.0615332
City: Newcastle	Coordinates: 54.9738474, -1.6131572
City: Newman	Coordinates: 37.3139487, -121.0204222
City: Nhill	Coordinates: -36.3331297, 141.6492931
City: Nhulunbuy	Coordinates: -12.1804346, 136.7759913
City: Noarlunga	Coordinates: -35.1500622, 138.4698986
City: Norfolk Island	Coordinates: -29.0328038, 167.9483137
City: Normanton	Coordinates: 53.6991226, -1.4194401
City: Norseman	Coordinates: -32.1926471, 121.7808616
City: Northam	Coordinates: 51.0505743, -4.211341809956307
City: Nowra	Coordinates: -34.8741198, 150.6004709
City: Nuriootpa	Coordinates: -34.4693354, 138.9939006
City: Oatlands	Coordinates: 55.8406166, -4.2370176
City: Onslow	Coordinates: 34.7952348, -77.4215828
City: Orange	Coordinates: 33.7500378, -117.8704931
City: Orbost	Coordinates: -37.7037061, 148.4554712
City: Orford	Coordinates: 43.9014699, -72.1415962
City: Ouse	Coordinates: 53.8103182, -1.0426146
City: Ouyen	Coordinates: -35.0723541, 142.3185509
City: Paraburdoo	Coordinates: -23.200637299999997, 117.67049989944465
City: Parkes	Coordinates: -33.1368067, 148.1754823
City: Parramatta	Coordinates: -33.80698855, 151.0213894532821
City: Penguin	Coordinates: -41.1151037, 146.0724803
City: Penrith	Coordinates: 54.6649465, -2.749059585987326
City: Perisher Valley	Coordinates: -36.4056476, 148.4106631
City: Perth	Coordinates: -31.9558933, 115.8605855
City: Phillip Island	Coordinates: -38.50717805, 145.18881031587003
City: Pirlangimpi	Coordinates: -11.4049328, 130.4173921
City: Point Hicks	Coordinates: -37.8019218, 149.2755534
City: Port Arthur	Coordinates: 29.8988618, -93.9288723
City: Port Augusta	Coordinates: -32.4908819, 137.7639874
City: Port Hedland	Coordinates: -20.3111814, 118.5801181
City: Port Lincoln	Coordinates: -34.7211905, 135.8592218
City: Port Macquarie	Coordinates: -31.4299499, 152.9103525
City: Port Pirie	Coordinates: -33.1791249, 138.0058614
City: Portland	Coordinates: 45.5202471, -122.674194
City: Prospect	Coordinates: 38.3459615, -85.60460479093771
City: Queenstown	Coordinates: -45.0321923, 168.661
City: Ravensthorpe	Coordinates: -33.5813455, 120.0473501
City: Redesdale	Coordinates: -37.020796, 144.5315217
City: Renmark	Coordinates: -34.1743516, 140.7468863
City: Rhyll	Coordinates: -38.4642208, 145.3081245
City: Richmond [NSW]	Coordinates: 37.5385087, -77.43428
City: Richmond [TAS]	Coordinates: 37.5385087, -77.43428
City: Robe	Coordinates: -37.186199200000004, 139.9955285127801
City: Rockhampton	Coordinates: -23.3782137, 150.5134227
City: Roebourne	Coordinates: -20.7723709, 117.145828
City: Roma	Coordinates: 41.8933203, 12.4829321
City: Rosebery	Coordinates: -33.9185861, 151.204692
City: Ross	Coordinates: 39.3455507, -83.077359
City: Roxby Downs	Coordinates: -30.5517551, 136.8816645260958
City: Rutherglen	Coordinates: 55.8283888, -4.2116533
City: Sale	Coordinates: 44.980656, 8.809348
City: Scone	Coordinates: 56.4204776, -3.39916
City: Scoresby	Coordinates: -37.9025786, 145.2183066
City: Scottsdale	Coordinates: 33.4942189, -111.9260184
City: Seymour	Coordinates: 33.5942438, -99.2603073
City: Sheffield	Coordinates: 53.3806626, -1.4702278
City: Sheoaks	Coordinates: -33.61506, 123.65556
City: Shepparton	Coordinates: -36.381072, 145.3993172
City: Singleton	Coordinates: -32.5664044, 151.1733972
City: Smithton	Coordinates: 38.4086616, -89.9920501
City: Sorell	Coordinates: -42.788586499999994, 147.66708321051306
City: Springwood	Coordinates: -33.7017613, 150.5655467
City: St Helens	Coordinates: 53.4486075, -2.7359820790816323
City: St Marys	Coordinates: 39.194164, -96.0711041
City: Strahan Town	Coordinates: 51.5288794, -0.0373499
City: Strathbogie	Coordinates: -36.8564674, 145.73589
City: Strathgordon	Coordinates: -42.76665, 146.04582
City: Sunshine Coast	Coordinates: -26.6544338, 153.0933668
City: Swan Hill	Coordinates: -35.3393279, 143.5592026
City: Swansea	Coordinates: 51.6195955, -3.9459248
City: Sydney	Coordinates: -33.8698439, 151.2082848
City: Tamworth	Coordinates: -31.0900743, 150.9290159
City: Taree	Coordinates: -31.912864, 152.4608481
City: Tarraleah	Coordinates: -42.3009554, 146.4497657
City: Tatura	Coordinates: -36.439972, 145.2329614
City: Tennant Creek	Coordinates: -19.6481652, 134.1899847
City: Terrey Hills	Coordinates: -33.6918185, 151.2205908
City: The Corner	Coordinates: -29.2105278, 29.4056111
City: The Entrance	Coordinates: -33.3440586, 151.4960171
City: Thredbo	Coordinates: -36.5047751, 148.3057091
City: Thursday Island	Coordinates: -10.578645850000001, 142.21892059042744
City: Tibooburra	Coordinates: -29.433097, 142.0105424
City: Tom Price	Coordinates: -22.6892972, 117.7974898
City: Toowoomba	Coordinates: -27.5610193, 151.953351
City: Toronto	Coordinates: 43.6534817, -79.3839347
City: Townsville	Coordinates: -19.2569391, 146.8239537
City: Tuggeranong	Coordinates: -35.4209771, 149.0921341
City: Tullamarine	Coordinates: -37.704658, 144.8717732
City: Tunnack	Coordinates: -42.454887, 147.4619877
City: Tweed Heads	Coordinates: -28.1786639, 153.5369986
City: Ulverstone	Coordinates: -41.1571818, 146.1705057
City: Victor Harbor	Coordinates: -35.5545579, 138.6234743
City: Wadeye	Coordinates: -14.2413341, 129.5208699
City: Wagga Wagga	Coordinates: -35.115, 147.3677778
City: Wallsend	Coordinates: 54.9911912, -1.5342042
City: Walpeup	Coordinates: -35.1049675, 142.0420888248588
City: Wangaratta	Coordinates: -36.3562509, 146.3230914
City: Waratah	Coordinates: -32.9023676, 151.7312067
City: Warracknabeal	Coordinates: -36.2510282, 142.3953525
City: Warrnambool	Coordinates: -38.3826241, 142.4814191
City: Warwick	Coordinates: 52.2814519, -1.5815742
City: Watsonia	Coordinates: -37.7110022, 145.083635
City: Weeaproinah	Coordinates: -38.6364, 143.4988475
City: Whitemark	Coordinates: -40.1215019, 148.0160176
City: Whyalla	Coordinates: -33.0382085, 137.5843572
City: Wilsons Promontory	Coordinates: -38.956702, 146.3514784921685
City: Winton	Coordinates: 47.926289, -91.800695
City: Wollongong	Coordinates: -34.4278083, 150.893054
City: Wonthaggi	Coordinates: -38.6043664, 145.5913433
City: Woomera	Coordinates: -31.1999142, 136.8253532
City: Wudinna	Coordinates: -32.9833175, 135.32306375148252
City: Wyndham	Coordinates: -15.4867977, 128.1236196
City: Wynyard	Coordinates: 51.766667, -104.183333
City: Yarra Glen	Coordinates: -37.6573475, 145.3743964
City: Yarrawonga	Coordinates: -36.0141692, 146.0063494
City: Yass	Coordinates: -34.8418829, 148.911085
City: Yeppoon	Coordinates: -23.1348035, 150.7436625
City: Young	Coordinates: 33.1508315, -98.6962766
City: Yuendumu	Coordinates: -22.2527454, 131.7978253
City: Yulara	Coordinates: -25.2410108, 130.9869405
City: Zeehan	Coordinates: -41.883943, 145.3357269
City: Innsbruck	Coordinates: 47.2654296, 11.3927685
City: Klagenfurt	Coordinates: 46.623943, 14.3075976
City: Vienna	Coordinates: 48.2083537, 16.3725042
City: Baku	Coordinates: 40.3755885, 49.8328009
City: Ganja	Coordinates: 40.6782547, 46.35732298444202
City: Lenkaran	Coordinates: 43.0299917, -2.2782722000000026
City: Freeport	Coordinates: 42.2966861, -89.6212271
City: Inagua	Coordinates: 21.2325, -73.30962128736624
City: Nassau	Coordinates: 25.0782266, -77.3383438
City: Bahrain/Manama	Coordinates: 26.2235041, 50.5822436
City: Barishal	Coordinates: 22.4934035, 90.3548015
City: Chittagong	Coordinates: 22.333778, 91.8344348
City: Dhaka	Coordinates: 23.7644025, 90.389015
City: Khulna	Coordinates: 22.9372087, 89.2852741
City: Rajshahi	Coordinates: 24.3715513, 88.5921038
City: Sylhet	Coordinates: 24.7358854, 91.6852476
City: Minsk	Coordinates: 53.9024716, 27.5618225
City: Aalst	Coordinates: 50.9383226, 4.0392147
City: Aalter	Coordinates: 51.083894, 3.4485192
City: Aarschot	Coordinates: 50.9842743, 4.836429
City: Aartselaar	Coordinates: 51.133297, 4.3870241
City: Affligem	Coordinates: 50.9035063, 4.1174675
City: Aiseau-Presles	Coordinates: 50.40228075, 4.575366574303365
City: Alken	Coordinates: 50.8754731, 5.3079873
City: Alveringem	Coordinates: 51.0150603, 2.722044376111538
City: Amay	Coordinates: 50.5497761, 5.3240992
City: Amel	Coordinates: 50.3543055, 6.1705559
City: Andenne	Coordinates: 50.4893981, 5.0965468
City: Anderlecht	Coordinates: 50.8390983, 4.3296526
City: Anderlues	Coordinates: 50.4042517, 4.264064760660609
City: Anhee	Coordinates: 50.3101511, 4.8776042
City: Ans	Coordinates: 50.6679862, 5.5077543
City: Anthisnes	Coordinates: 50.481662, 5.5225261
City: Antoing	Coordinates: 50.5574604, 3.4661874583449226
City: Antwerp	Coordinates: 51.2211097, 4.3997081
City: Anzegem	Coordinates: 50.8325437, 3.478405
City: Ardooie	Coordinates: 50.97120755, 3.2046502804624204
City: Arendonk	Coordinates: 51.3202315, 5.0864557
City: Arlon	Coordinates: 49.6834601, 5.8167711
City: As	Coordinates: 26.4073841, 93.2551303
City: Asse	Coordinates: 50.9094333, 4.2015646
City: Assenede	Coordinates: 51.2275942, 3.7532864
City: Assesse	Coordinates: 50.3718261, 5.0217639
City: Ath	Coordinates: 39.355589, -82.0610404
City: Attert	Coordinates: 49.7514982, 5.7872217
City: Aubange	Coordinates: 49.5671953, 5.8044993
City: Aubel	Coordinates: 50.7041498, 5.8585553
City: Avelgem	Coordinates: 50.777506349999996, 3.449666230130913
City: Awans	Coordinates: 50.6670346, 5.4622239
City: Aywaille	Coordinates: 50.4758998, 5.6763249
City: Baarle-Hertog	Coordinates: 51.4383589, 4.9316995
City: Baelen	Coordinates: 50.6312854, 5.9713469
City: Balen	Coordinates: 51.1727481, 5.194138939365719
City: Bassenge	Coordinates: 50.7583596, 5.6094772
City: Bastogne	Coordinates: 50.0023102, 5.7173386
City: Beaumont	Coordinates: 30.0860459, -94.1018461
City: Beauraing	Coordinates: 50.091486599999996, 4.964068727877553
City: Beauvechain	Coordinates: 50.7808981, 4.7717304
City: Beernem	Coordinates: 51.1405698, 3.3347317
City: Beerse	Coordinates: 51.313529599999995, 4.83753463479851
City: Beersel	Coordinates: 50.747841199999996, 4.30652710740871
City: Begijnendijk	Coordinates: 51.0242187, 4.782632888744521
City: Bekkevoort	Coordinates: 50.9338977, 4.98461697152198
City: Beloeil	Coordinates: 45.5643183, -73.2040066
City: Beringen	Coordinates: 51.0502026, 5.220809082300834
City: Berlaar	Coordinates: 51.103037349999994, 4.664038763459683
City: Berlare	Coordinates: 51.0301606, 4.011347029715423
City: Berloz	Coordinates: 50.6978415, 5.2140163
City: Bernissart	Coordinates: 50.4785984, 3.691426003709652
City: Bertem	Coordinates: 50.8659846, 4.6306262
City: Bertogne	Coordinates: 50.0843345, 5.6676137
City: Bertrix	Coordinates: 49.8546564, 5.2529266
City: Bever	Coordinates: 50.7164481, 3.943147
City: Beveren	Coordinates: 51.212611, 4.2577808
City: Beyne-Heusay	Coordinates: 50.6220566, 5.6534141
City: Bierbeek	Coordinates: 50.8278113, 4.754358
City: Bievre	Coordinates: 49.9411216, 5.0168496
City: Bilzen	Coordinates: 50.8707787, 5.5181089
City: Binche	Coordinates: 50.4103004, 4.165163
City: Blankenberge	Coordinates: 51.31700275, 3.133658034483461
City: Blegny	Coordinates: 50.6727185, 5.7252372
City: Bocholt	Coordinates: 51.8382715, 6.6148669
City: Boechout	Coordinates: 51.1597261, 4.509867483882227
City: Bonheiden	Coordinates: 51.0261294, 4.537821777907236
City: Boom	Coordinates: 51.0873789, 4.3667216
City: Boortmeerbeek	Coordinates: 50.978285850000006, 4.575800524999997
City: Borgloon	Coordinates: 50.8024529, 5.3435704
City: Bornem	Coordinates: 51.09096325, 4.238967723449794
City: Borsbeek	Coordinates: 51.1928907, 4.488953
City: Bouillon	Coordinates: 43.4945306, -0.4981465
City: Boussu	Coordinates: 50.4331253, 3.7960902
City: Boutersem	Coordinates: 50.847346099999996, 4.83361780525583
City: Braine-L'Alleud	Coordinates: 50.6828722, 4.3692706
City: Braine-Le-Chateau	Coordinates: 50.68088165, 4.266671041297531
City: Braine-Le-Comte	Coordinates: 50.6107057, 4.1360702
City: Braives	Coordinates: 50.6300711, 5.1435257
City: Brakel	Coordinates: 51.7168889, 9.1841762
City: Brasschaat	Coordinates: 51.2900693, 4.4917295
City: Brecht	Coordinates: 49.9810924, 6.4357583
City: Bredene	Coordinates: 51.23894075, 2.9724492877781263
City: Bree	Coordinates: 51.1386239, 5.622980505851396
City: Brugelette	Coordinates: 50.6016956, 3.8647978539522874
City: Brugge	Coordinates: 51.2085526, 3.226772
City: Brunehaut	Coordinates: 50.5292187, 3.4082157578695362
City: Brussels	Coordinates: 50.8465573, 4.351697
City: Buggenhout	Coordinates: 51.0152271, 4.2022689
City: Bullingen	Coordinates: 50.4075533, 6.257827
City: Burdinne	Coordinates: 50.5812607, 5.072436
City: Burg-Reuland	Coordinates: 50.1967468, 6.1342559
City: Butgenbach	Coordinates: 50.4267259, 6.2053573
City: Celles	Coordinates: 45.2975677, 0.4135916
City: Cerfontaine	Coordinates: 50.2598795, 4.0249254
City: Chapelle-Lez-Herlaimont	Coordinates: 50.4713265, 4.2804202
City: Charleroi	Coordinates: 50.4116459, 4.4445264
City: Chastre	Coordinates: 50.6082727, 4.6385565
City: Chatelet	Coordinates: 48.8597916, 2.3466756
City: Chaudfontaine	Coordinates: 50.5847922, 5.6469688
City: Chaumont-Gistoux	Coordinates: 50.6839808, 4.6974182
City: Chievres	Coordinates: 50.56999985, 3.779372896486468
City: Chimay	Coordinates: 50.0358705, 4.321416517933619
City: Chiny	Coordinates: 35.000074, 104.999927
